epoch,mode,measure_name,attack_name,descriptor1,descriptor2,descriptor3,descriptor4,value
0,Train,Normal_accuracy,,,,,,57.288
0,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,0.002
0,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,0.003491132523390588
0,Train,Loss_measure,,,,,,"tensor(0.0042, device='cuda:0')"
0,Train,Loss_measure,,,,,,"tensor(0.0047, device='cuda:0')"
1,Train,Normal_accuracy,,,,,,75.298
1,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,0.018000000000000002
1,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,0.023905017397540442
1,Train,Loss_measure,,,,,,"tensor(0.0041, device='cuda:0')"
1,Train,Loss_measure,,,,,,"tensor(0.0048, device='cuda:0')"
2,Train,Normal_accuracy,,,,,,77.874
2,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,0.026
2,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,0.03338726661016514
2,Train,Loss_measure,,,,,,"tensor(0.0041, device='cuda:0')"
2,Train,Loss_measure,,,,,,"tensor(0.0047, device='cuda:0')"
3,Train,Normal_accuracy,,,,,,79.678
3,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,0.044000000000000004
3,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,0.05522226963528201
3,Train,Loss_measure,,,,,,"tensor(0.0041, device='cuda:0')"
3,Train,Loss_measure,,,,,,"tensor(0.0047, device='cuda:0')"
4,Train,Normal_accuracy,,,,,,80.17999999999999
4,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,0.068
4,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,0.08480917934647045
4,Train,Loss_measure,,,,,,"tensor(0.0042, device='cuda:0')"
4,Train,Loss_measure,,,,,,"tensor(0.0046, device='cuda:0')"
5,Train,Normal_accuracy,,,,,,80.17800000000001
5,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,0.086
5,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,0.10726134351068872
5,Train,Loss_measure,,,,,,"tensor(0.0042, device='cuda:0')"
5,Train,Loss_measure,,,,,,"tensor(0.0046, device='cuda:0')"
6,Train,Normal_accuracy,,,,,,79.494
6,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,0.22
6,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,0.27675044657458425
6,Train,Loss_measure,,,,,,"tensor(0.0042, device='cuda:0')"
6,Train,Loss_measure,,,,,,"tensor(0.0046, device='cuda:0')"
7,Train,Normal_accuracy,,,,,,79.11
7,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,0.4
7,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,0.5056250790039186
7,Train,Loss_measure,,,,,,"tensor(0.0043, device='cuda:0')"
7,Train,Loss_measure,,,,,,"tensor(0.0046, device='cuda:0')"
8,Train,Normal_accuracy,,,,,,76.72
8,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,1.118
8,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,1.4572471324296141
8,Train,Loss_measure,,,,,,"tensor(0.0043, device='cuda:0')"
8,Train,Loss_measure,,,,,,"tensor(0.0045, device='cuda:0')"
9,Train,Normal_accuracy,,,,,,75.128
