epoch,mode,measure_name,attack_name,descriptor1,descriptor2,descriptor3,descriptor4,value
0,Train,Normal_accuracy,,,,,,10.554
0,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,0.0
0,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,0.0
0,Train,Loss_measure,,,,,,"tensor(0.0045, device='cuda:0')"
0,Train,Loss_measure,,,,,,"tensor(0.0046, device='cuda:0')"
1,Train,Normal_accuracy,,,,,,13.29
1,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,0.0
1,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,0.0
1,Train,Loss_measure,,,,,,"tensor(0.0045, device='cuda:0')"
1,Train,Loss_measure,,,,,,"tensor(0.0046, device='cuda:0')"
2,Train,Normal_accuracy,,,,,,16.764000000000003
2,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,0.0
2,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,0.0
2,Train,Loss_measure,,,,,,"tensor(0.0044, device='cuda:0')"
2,Train,Loss_measure,,,,,,"tensor(0.0046, device='cuda:0')"
3,Train,Normal_accuracy,,,,,,20.66
3,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,0.0
3,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,0.0
3,Train,Loss_measure,,,,,,"tensor(0.0044, device='cuda:0')"
3,Train,Loss_measure,,,,,,"tensor(0.0046, device='cuda:0')"
4,Train,Normal_accuracy,,,,,,25.785999999999998
4,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,0.0
4,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,0.0
4,Train,Loss_measure,,,,,,"tensor(0.0043, device='cuda:0')"
4,Train,Loss_measure,,,,,,"tensor(0.0046, device='cuda:0')"
5,Train,Normal_accuracy,,,,,,31.068
5,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,0.0
5,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,0.0
5,Train,Loss_measure,,,,,,"tensor(0.0043, device='cuda:0')"
5,Train,Loss_measure,,,,,,"tensor(0.0046, device='cuda:0')"
6,Train,Normal_accuracy,,,,,,36.882
6,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,0.004
6,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,0.010845398839542325
6,Train,Loss_measure,,,,,,"tensor(0.0043, device='cuda:0')"
6,Train,Loss_measure,,,,,,"tensor(0.0046, device='cuda:0')"
7,Train,Normal_accuracy,,,,,,42.928
7,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,0.002
7,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,0.004658963846440552
7,Train,Loss_measure,,,,,,"tensor(0.0042, device='cuda:0')"
7,Train,Loss_measure,,,,,,"tensor(0.0047, device='cuda:0')"
8,Train,Normal_accuracy,,,,,,48.874
8,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,,,0.0
8,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,,,0.0
