epoch,mode,measure_name,attack_name,descriptor1,descriptor2,value
0,Train,Normal_accuracy,,,,8.140000343322754
0,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.001999999862164259
0,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.024570023640990257
0,Train,Loss_measure,Clean,,,0.004412476439028978
0,Train,Loss_measure,simple_APGD_10_iters,,,0.004457153379917145
1,Train,Normal_accuracy,,,,29.29399871826172
1,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,2.3239998817443848
1,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,7.933365345001221
1,Train,Loss_measure,Clean,,,0.004145674407482147
1,Train,Loss_measure,simple_APGD_10_iters,,,0.00441568112000823
2,Train,Normal_accuracy,,,,38.55599594116211
2,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,2.74399995803833
2,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,7.116920471191406
2,Train,Loss_measure,Clean,,,0.003953551407903433
2,Train,Loss_measure,simple_APGD_10_iters,,,0.004290323704481125
3,Train,Normal_accuracy,,,,87.25599670410156
3,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,2.138000011444092
3,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,2.450261354446411
3,Train,Loss_measure,Clean,,,0.0038651267532259226
3,Train,Loss_measure,simple_APGD_10_iters,,,0.00479714572429657
4,Train,Normal_accuracy,,,,97.24400329589844
4,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,2.009999990463257
4,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,2.0669655799865723
4,Train,Loss_measure,Clean,,,0.003874771064147353
4,Train,Loss_measure,simple_APGD_10_iters,,,0.0048260437324643135
5,Train,Normal_accuracy,,,,99.06599426269531
5,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,1.9500000476837158
5,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,1.9683847427368164
5,Train,Loss_measure,Clean,,,0.003910362720489502
5,Train,Loss_measure,simple_APGD_10_iters,,,0.004758540075272322
6,Train,Normal_accuracy,,,,98.84600067138672
6,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,2.121999740600586
6,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,2.1467738151550293
6,Train,Loss_measure,Clean,,,0.003951140213757753
6,Train,Loss_measure,simple_APGD_10_iters,,,0.004697086289525032
7,Train,Normal_accuracy,,,,99.42999267578125
7,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,2.245999813079834
7,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,2.258875608444214
7,Train,Loss_measure,Clean,,,0.003994991071522236
7,Train,Loss_measure,simple_APGD_10_iters,,,0.004658175632357597
8,Train,Normal_accuracy,,,,99.64599609375
8,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,2.3899998664855957
8,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,2.3984906673431396
8,Train,Loss_measure,Clean,,,0.004041167441755533
8,Train,Loss_measure,simple_APGD_10_iters,,,0.004625911358743906
9,Train,Normal_accuracy,,,,99.35599517822266
9,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,2.4039998054504395
9,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,2.4195821285247803
9,Train,Loss_measure,Clean,,,0.004087138455361128
9,Train,Loss_measure,simple_APGD_10_iters,,,0.0045998590067029
10,Train,Normal_accuracy,,,,98.3499984741211
10,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,2.5419998168945312
10,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,2.584646701812744
10,Train,Loss_measure,Clean,,,0.0041291373781859875
10,Train,Loss_measure,simple_APGD_10_iters,,,0.004579495172947645
11,Train,Normal_accuracy,,,,97.16799926757812
11,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,2.685999870300293
11,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,2.764284610748291
11,Train,Loss_measure,Clean,,,0.004163153935223818
11,Train,Loss_measure,simple_APGD_10_iters,,,0.004565726034343243
12,Train,Normal_accuracy,,,,96.91000366210938
12,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,2.795999765396118
12,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,2.8851511478424072
12,Train,Loss_measure,Clean,,,0.004188424441963434
12,Train,Loss_measure,simple_APGD_10_iters,,,0.004558565095067024
13,Train,Normal_accuracy,,,,96.90799713134766
13,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,2.7780001163482666
13,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,2.8666365146636963
13,Train,Loss_measure,Clean,,,0.0042093852534890175
13,Train,Loss_measure,simple_APGD_10_iters,,,0.004553904756903648
14,Train,Normal_accuracy,,,,97.06400299072266
14,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,2.7179999351501465
14,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,2.8002142906188965
14,Train,Loss_measure,Clean,,,0.004228220786899328
14,Train,Loss_measure,simple_APGD_10_iters,,,0.004551233258098364
15,Train,Normal_accuracy,,,,97.23799896240234
15,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,2.74399995803833
15,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,2.821942090988159
15,Train,Loss_measure,Clean,,,0.004247221630066633
15,Train,Loss_measure,simple_APGD_10_iters,,,0.004548780154436827
16,Train,Normal_accuracy,,,,96.93799591064453
16,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,2.6540000438690186
16,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,2.737832546234131
16,Train,Loss_measure,Clean,,,0.004262806847691536
16,Train,Loss_measure,simple_APGD_10_iters,,,0.004546668380498886
17,Train,Normal_accuracy,,,,96.54000091552734
17,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,2.68999981880188
17,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,2.786409854888916
17,Train,Loss_measure,Clean,,,0.0042762793600559235
17,Train,Loss_measure,simple_APGD_10_iters,,,0.004544737748801708
18,Train,Normal_accuracy,,,,97.55599212646484
18,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,2.7039999961853027
18,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,2.7717413902282715
18,Train,Loss_measure,Clean,,,0.004286216571927071
18,Train,Loss_measure,simple_APGD_10_iters,,,0.004544971045106649
19,Train,Normal_accuracy,,,,96.82599639892578
19,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,2.874000072479248
19,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,2.9682111740112305
19,Train,Loss_measure,Clean,,,0.004296379629522562
19,Train,Loss_measure,simple_APGD_10_iters,,,0.004542681388556957
0,Validation,Normal_accuracy,,,,7.880000114440918
0,Validation,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.0
0,Validation,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.0
0,Validation,Loss_measure,Clean,,,0.004513575229793787
0,Validation,Loss_measure,simple_APGD_10_iters,,,0.004565292503684759
1,Validation,Normal_accuracy,,,,28.31999969482422
1,Validation,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,1.0299999713897705
1,Validation,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,3.6370058059692383
1,Validation,Loss_measure,Clean,,,0.004255211446434259
1,Validation,Loss_measure,simple_APGD_10_iters,,,0.004532813560217619
2,Validation,Normal_accuracy,,,,36.39999771118164
2,Validation,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,1.4800000190734863
2,Validation,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,4.065934181213379
2,Validation,Loss_measure,Clean,,,0.004070441238582134
2,Validation,Loss_measure,simple_APGD_10_iters,,,0.004402587190270424
3,Validation,Normal_accuracy,,,,79.15999603271484
3,Validation,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.9300000071525574
3,Validation,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,1.1748358011245728
3,Validation,Loss_measure,Clean,,,0.003983502741903067
3,Validation,Loss_measure,simple_APGD_10_iters,,,0.004848828073590994
4,Validation,Normal_accuracy,,,,89.5
4,Validation,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.7999999523162842
4,Validation,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.8938547372817993
4,Validation,Loss_measure,Clean,,,0.003989961929619312
4,Validation,Loss_measure,simple_APGD_10_iters,,,0.004886686336249113
5,Validation,Normal_accuracy,,,,92.58999633789062
5,Validation,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.7999999523162842
5,Validation,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.8640241622924805
5,Validation,Loss_measure,Clean,,,0.004022459499537945
5,Validation,Loss_measure,simple_APGD_10_iters,,,0.0048348731361329556
6,Validation,Normal_accuracy,,,,92.85999298095703
6,Validation,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.85999995470047
6,Validation,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.9261253476142883
6,Validation,Loss_measure,Clean,,,0.004060614854097366
6,Validation,Loss_measure,simple_APGD_10_iters,,,0.004779047332704067
7,Validation,Normal_accuracy,,,,93.70999908447266
7,Validation,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.8700000047683716
7,Validation,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.9283961057662964
7,Validation,Loss_measure,Clean,,,0.004101619590073824
7,Validation,Loss_measure,simple_APGD_10_iters,,,0.004744620993733406
8,Validation,Normal_accuracy,,,,93.82999420166016
8,Validation,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.8299999833106995
8,Validation,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.8845784664154053
8,Validation,Loss_measure,Clean,,,0.004144976381212473
8,Validation,Loss_measure,simple_APGD_10_iters,,,0.004715774208307266
9,Validation,Normal_accuracy,,,,93.31999969482422
9,Validation,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.75
9,Validation,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.8036862015724182
9,Validation,Loss_measure,Clean,,,0.004188337828963995
9,Validation,Loss_measure,simple_APGD_10_iters,,,0.004691535606980324
10,Validation,Normal_accuracy,,,,92.33999633789062
10,Validation,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.8700000047683716
10,Validation,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.942170262336731
10,Validation,Loss_measure,Clean,,,0.004228448029607534
10,Validation,Loss_measure,simple_APGD_10_iters,,,0.004673308692872524
11,Validation,Normal_accuracy,,,,91.5199966430664
11,Validation,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,1.0099999904632568
11,Validation,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,1.1035839319229126
11,Validation,Loss_measure,Clean,,,0.004261191934347153
11,Validation,Loss_measure,simple_APGD_10_iters,,,0.00466135935857892
12,Validation,Normal_accuracy,,,,91.0
12,Validation,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.9399999976158142
12,Validation,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,1.0329669713974
12,Validation,Loss_measure,Clean,,,0.004285539500415325
12,Validation,Loss_measure,simple_APGD_10_iters,,,0.004654722288250923
13,Validation,Normal_accuracy,,,,91.13999938964844
13,Validation,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.9599999785423279
13,Validation,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,1.053324580192566
13,Validation,Loss_measure,Clean,,,0.004305833484977484
13,Validation,Loss_measure,simple_APGD_10_iters,,,0.004650384187698364
14,Validation,Normal_accuracy,,,,91.40999603271484
14,Validation,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.9399999976158142
14,Validation,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,1.0283339023590088
14,Validation,Loss_measure,Clean,,,0.004324148874729872
14,Validation,Loss_measure,simple_APGD_10_iters,,,0.004648186266422272
15,Validation,Normal_accuracy,,,,91.3499984741211
15,Validation,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,1.0099999904632568
15,Validation,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,1.1056376695632935
15,Validation,Loss_measure,Clean,,,0.004342634696513414
15,Validation,Loss_measure,simple_APGD_10_iters,,,0.004645142704248428
16,Validation,Normal_accuracy,,,,91.16999816894531
16,Validation,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.9099999666213989
16,Validation,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.9981353878974915
16,Validation,Loss_measure,Clean,,,0.004357845988124609
16,Validation,Loss_measure,simple_APGD_10_iters,,,0.004643768072128296
17,Validation,Normal_accuracy,,,,90.87999725341797
17,Validation,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.8199999928474426
17,Validation,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.9022886753082275
17,Validation,Loss_measure,Clean,,,0.0043709962628781796
17,Validation,Loss_measure,simple_APGD_10_iters,,,0.0046422770246863365
18,Validation,Normal_accuracy,,,,91.44999694824219
18,Validation,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.9699999094009399
18,Validation,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,1.060688853263855
18,Validation,Loss_measure,Clean,,,0.004380791913717985
18,Validation,Loss_measure,simple_APGD_10_iters,,,0.004639891907572746
19,Validation,Normal_accuracy,,,,91.0199966430664
19,Validation,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,1.3100000619888306
19,Validation,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,1.4392441511154175
19,Validation,Loss_measure,Clean,,,0.004390659276396036
19,Validation,Loss_measure,simple_APGD_10_iters,,,0.004638949874788523
