epoch,mode,measure_name,attack_name,descriptor1,descriptor2,descriptor3,descriptor4,value
0,Train,Normal_accuracy,,,,,,30.042
0,Train,Robust_accuracy,Fgsm,Total_accuracy,,,,22.272
0,Train,Robust_accuracy,Fgsm,,Correct_accuracy,,,73.94980360828174
0,Train,Loss_measure,,,,,,"tensor(0.0043, device='cuda:1')"
0,Train,Loss_measure,,,,,,"tensor(0.0045, device='cuda:1')"
1,Train,Normal_accuracy,,,,,,42.476
1,Train,Robust_accuracy,Fgsm,Total_accuracy,,,,28.866000000000003
1,Train,Robust_accuracy,Fgsm,,Correct_accuracy,,,67.88303983425935
1,Train,Loss_measure,,,,,,"tensor(0.0041, device='cuda:1')"
1,Train,Loss_measure,,,,,,"tensor(0.0043, device='cuda:1')"
2,Train,Normal_accuracy,,,,,,49.431999999999995
2,Train,Robust_accuracy,Fgsm,Total_accuracy,,,,35.116
2,Train,Robust_accuracy,Fgsm,,Correct_accuracy,,,70.59799320278363
2,Train,Loss_measure,,,,,,"tensor(0.0039, device='cuda:1')"
2,Train,Loss_measure,,,,,,"tensor(0.0042, device='cuda:1')"
3,Train,Normal_accuracy,,,,,,67.86
3,Train,Robust_accuracy,Fgsm,Total_accuracy,,,,43.94
3,Train,Robust_accuracy,Fgsm,,Correct_accuracy,,,64.73622163277336
3,Train,Loss_measure,,,,,,"tensor(0.0037, device='cuda:1')"
3,Train,Loss_measure,,,,,,"tensor(0.0041, device='cuda:1')"
4,Train,Normal_accuracy,,,,,,85.166
4,Train,Robust_accuracy,Fgsm,Total_accuracy,,,,48.17
4,Train,Robust_accuracy,Fgsm,,Correct_accuracy,,,55.85092642603856
4,Train,Loss_measure,,,,,,"tensor(0.0035, device='cuda:1')"
4,Train,Loss_measure,,,,,,"tensor(0.0040, device='cuda:1')"
5,Train,Normal_accuracy,,,,,,95.052
5,Train,Robust_accuracy,Fgsm,Total_accuracy,,,,51.928
5,Train,Robust_accuracy,Fgsm,,Correct_accuracy,,,54.443883348062116
5,Train,Loss_measure,,,,,,"tensor(0.0034, device='cuda:1')"
5,Train,Loss_measure,,,,,,"tensor(0.0039, device='cuda:1')"
6,Train,Normal_accuracy,,,,,,95.53399999999999
6,Train,Robust_accuracy,Fgsm,Total_accuracy,,,,51.832
