epoch,mode,measure_name,attack_name,descriptor1,descriptor2,value
0,Train,Normal_accuracy,,,,69.52200317382812
0,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,2.0420000553131104
0,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,2.937199831008911
0,Train,Loss_measure,Clean,,,0.004124827217310667
0,Train,Loss_measure,simple_APGD_10_iters,,,0.004548033233731985
1,Train,Normal_accuracy,,,,69.947998046875
1,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,3.6399998664855957
1,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,5.203866004943848
1,Train,Loss_measure,Clean,,,0.0042470176704227924
1,Train,Loss_measure,simple_APGD_10_iters,,,0.004516722168773413
2,Train,Normal_accuracy,,,,69.43199920654297
2,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,3.7219996452331543
2,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,5.360640525817871
2,Train,Loss_measure,Clean,,,0.004262221045792103
2,Train,Loss_measure,simple_APGD_10_iters,,,0.004515702370554209
3,Train,Normal_accuracy,,,,69.37200164794922
3,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,3.6100001335144043
3,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,5.203828811645508
3,Train,Loss_measure,Clean,,,0.004269252065569162
3,Train,Loss_measure,simple_APGD_10_iters,,,0.004516066983342171
4,Train,Normal_accuracy,,,,68.72999572753906
4,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,2.9099998474121094
4,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,4.233958721160889
4,Train,Loss_measure,Clean,,,0.004262642003595829
4,Train,Loss_measure,simple_APGD_10_iters,,,0.004516631364822388
5,Train,Normal_accuracy,,,,69.23399353027344
5,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,3.4739999771118164
5,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,5.017765998840332
5,Train,Loss_measure,Clean,,,0.004289897158741951
5,Train,Loss_measure,simple_APGD_10_iters,,,0.004516165237873793
6,Train,Normal_accuracy,,,,68.71199798583984
6,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,2.6999998092651367
6,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,3.9294447898864746
6,Train,Loss_measure,Clean,,,0.004274604842066765
6,Train,Loss_measure,simple_APGD_10_iters,,,0.004518283996731043
7,Train,Normal_accuracy,,,,68.54399871826172
7,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,2.6399998664855957
7,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,3.8515408039093018
7,Train,Loss_measure,Clean,,,0.004281764850020409
7,Train,Loss_measure,simple_APGD_10_iters,,,0.004518086556345224
8,Train,Normal_accuracy,,,,68.92200469970703
8,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,3.667999744415283
8,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,5.321958065032959
8,Train,Loss_measure,Clean,,,0.004308142699301243
8,Train,Loss_measure,simple_APGD_10_iters,,,0.004513678606599569
9,Train,Normal_accuracy,,,,68.16600036621094
9,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,2.681999921798706
9,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,3.9345126152038574
9,Train,Loss_measure,Clean,,,0.004293809179216623
9,Train,Loss_measure,simple_APGD_10_iters,,,0.004516948014497757
10,Train,Normal_accuracy,,,,69.30799865722656
10,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,3.254000186920166
10,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,4.6949849128723145
10,Train,Loss_measure,Clean,,,0.004311529919505119
10,Train,Loss_measure,simple_APGD_10_iters,,,0.0045181154273450375
11,Train,Normal_accuracy,,,,67.36199951171875
11,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,2.4240000247955322
11,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,3.598468065261841
11,Train,Loss_measure,Clean,,,0.004293552599847317
11,Train,Loss_measure,simple_APGD_10_iters,,,0.0045185089111328125
12,Train,Normal_accuracy,,,,68.26799774169922
12,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,3.0359997749328613
12,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,4.447178840637207
12,Train,Loss_measure,Clean,,,0.004317496437579393
12,Train,Loss_measure,simple_APGD_10_iters,,,0.004517906811088324
13,Train,Normal_accuracy,,,,68.84200286865234
13,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,3.3299996852874756
13,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,4.83716344833374
13,Train,Loss_measure,Clean,,,0.00432764133438468
13,Train,Loss_measure,simple_APGD_10_iters,,,0.004517378285527229
14,Train,Normal_accuracy,,,,68.84600067138672
14,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,3.4779999256134033
14,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,5.051855087280273
14,Train,Loss_measure,Clean,,,0.004332143347710371
14,Train,Loss_measure,simple_APGD_10_iters,,,0.004516239743679762
15,Train,Normal_accuracy,,,,69.05999755859375
15,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,3.1059999465942383
15,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,4.4975385665893555
15,Train,Loss_measure,Clean,,,0.004333384335041046
15,Train,Loss_measure,simple_APGD_10_iters,,,0.004517265595495701
16,Train,Normal_accuracy,,,,68.00800323486328
16,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,2.2939999103546143
16,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,3.3731327056884766
16,Train,Loss_measure,Clean,,,0.004323343280702829
16,Train,Loss_measure,simple_APGD_10_iters,,,0.004518803209066391
17,Train,Normal_accuracy,,,,66.93399810791016
17,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,2.3459999561309814
17,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,3.5049452781677246
17,Train,Loss_measure,Clean,,,0.004320387262851
17,Train,Loss_measure,simple_APGD_10_iters,,,0.004515794571489096
18,Train,Normal_accuracy,,,,69.04000091552734
18,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,3.1559998989105225
18,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,4.571263313293457
18,Train,Loss_measure,Clean,,,0.004342199768871069
18,Train,Loss_measure,simple_APGD_10_iters,,,0.004518222063779831
19,Train,Normal_accuracy,,,,67.37999725341797
19,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,2.197999954223633
19,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,3.2620954513549805
19,Train,Loss_measure,Clean,,,0.00433278689160943
19,Train,Loss_measure,simple_APGD_10_iters,,,0.0045199329033494
0,Validation,Normal_accuracy,,,,80.15999603271484
0,Validation,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,3.7699997425079346
0,Validation,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,4.703093528747559
0,Validation,Loss_measure,Clean,,,0.004120729397982359
0,Validation,Loss_measure,simple_APGD_10_iters,,,0.00462261913344264
1,Validation,Normal_accuracy,,,,79.8699951171875
1,Validation,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,6.480000019073486
1,Validation,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,8.113183975219727
1,Validation,Loss_measure,Clean,,,0.004273302387446165
1,Validation,Loss_measure,simple_APGD_10_iters,,,0.0045844633132219315
2,Validation,Normal_accuracy,,,,80.43999481201172
2,Validation,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,6.78000020980835
2,Validation,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,8.428642272949219
2,Validation,Loss_measure,Clean,,,0.004293502774089575
2,Validation,Loss_measure,simple_APGD_10_iters,,,0.004584814887493849
3,Validation,Normal_accuracy,,,,80.56999969482422
3,Validation,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,6.519999980926514
3,Validation,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,8.092342376708984
3,Validation,Loss_measure,Clean,,,0.004301626700907946
3,Validation,Loss_measure,simple_APGD_10_iters,,,0.004586781375110149
4,Validation,Normal_accuracy,,,,80.58999633789062
