epoch,mode,measure_name,attack_name,descriptor1,descriptor2,value
0,Train,Normal_accuracy,,,,33.81
0,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,1.952
0,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,5.773439810706892
0,Train,Loss_measure,Clean,,,tensor(0.0045)
0,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
1,Train,Normal_accuracy,,,,58.926
1,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,2.122
1,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,3.601126837049859
1,Train,Loss_measure,Clean,,,tensor(0.0044)
1,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
2,Train,Normal_accuracy,,,,69.63000000000001
2,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,2.4
2,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,3.4467901766479967
2,Train,Loss_measure,Clean,,,tensor(0.0044)
2,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
3,Train,Normal_accuracy,,,,74.182
3,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,1.886
3,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,2.542395729422232
3,Train,Loss_measure,Clean,,,tensor(0.0044)
3,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
4,Train,Normal_accuracy,,,,75.78
4,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,1.918
4,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,2.531010820797044
4,Train,Loss_measure,Clean,,,tensor(0.0044)
4,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
5,Train,Normal_accuracy,,,,76.378
5,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,2.432
5,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,3.18416297886826
5,Train,Loss_measure,Clean,,,tensor(0.0044)
5,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
6,Train,Normal_accuracy,,,,78.596
6,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.774
6,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.9847829406076645
6,Train,Loss_measure,Clean,,,tensor(0.0044)
6,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
7,Train,Normal_accuracy,,,,79.21000000000001
7,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.594
7,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.7499053149854816
7,Train,Loss_measure,Clean,,,tensor(0.0044)
7,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
8,Train,Normal_accuracy,,,,78.36800000000001
8,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,1.254
8,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,1.6001429154757045
8,Train,Loss_measure,Clean,,,tensor(0.0045)
