epoch,mode,measure_name,attack_name,descriptor1,descriptor2,value
0,Train,Normal_accuracy,,,,84.758
0,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.0
0,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.0
0,Train,Loss_measure,Clean,,,tensor(0.0038)
0,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0054)
1,Train,Normal_accuracy,,,,86.83800000000001
1,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.002
1,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.0023031391787005687
1,Train,Loss_measure,Clean,,,tensor(0.0039)
1,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0052)
2,Train,Normal_accuracy,,,,88.57199999999999
2,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.006
2,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.006774149844194554
2,Train,Loss_measure,Clean,,,tensor(0.0040)
2,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0050)
3,Train,Normal_accuracy,,,,89.724
3,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.018000000000000002
3,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.02006152200080246
3,Train,Loss_measure,Clean,,,tensor(0.0041)
3,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0049)
4,Train,Normal_accuracy,,,,90.438
4,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.008
4,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.008845839138415268
4,Train,Loss_measure,Clean,,,tensor(0.0042)
4,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0047)
5,Train,Normal_accuracy,,,,90.256
5,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.018000000000000002
5,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.019943272469420317
5,Train,Loss_measure,Clean,,,tensor(0.0043)
5,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0046)
6,Train,Normal_accuracy,,,,86.60799999999999
6,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.032
6,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.03694808793644929
6,Train,Loss_measure,Clean,,,tensor(0.0044)
6,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0046)
7,Train,Normal_accuracy,,,,89.46600000000001
7,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.054
7,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.06035812487425391
7,Train,Loss_measure,Clean,,,tensor(0.0044)
7,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
8,Train,Normal_accuracy,,,,69.768
8,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.052
8,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.07453273707143676
8,Train,Loss_measure,Clean,,,tensor(0.0044)
8,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
9,Train,Normal_accuracy,,,,83.50999999999999
9,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.11199999999999999
9,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.13411567476948869
9,Train,Loss_measure,Clean,,,tensor(0.0044)
9,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
10,Train,Normal_accuracy,,,,69.164
10,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,4.154
10,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,6.006014689722977
10,Train,Loss_measure,Clean,,,tensor(0.0045)
10,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
11,Train,Normal_accuracy,,,,77.86999999999999
11,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,1.576
11,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,2.023885963785797
11,Train,Loss_measure,Clean,,,tensor(0.0045)
11,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
12,Train,Normal_accuracy,,,,68.368
12,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,1.466
12,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,2.144278024806927
12,Train,Loss_measure,Clean,,,tensor(0.0045)
12,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
13,Train,Normal_accuracy,,,,84.99
13,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.022000000000000002
