epoch,mode,measure_name,attack_name,descriptor1,descriptor2,value
0,Train,Normal_accuracy,,,,86.104
0,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.016
0,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.0185821796896776
0,Train,Loss_measure,Clean,,,tensor(0.0043)
0,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0046)
1,Train,Normal_accuracy,,,,80.194
1,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.712
1,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.8878469710950944
1,Train,Loss_measure,Clean,,,tensor(0.0044)
1,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0046)
2,Train,Normal_accuracy,,,,80.43
2,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.244
2,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.3033693895312694
2,Train,Loss_measure,Clean,,,tensor(0.0044)
2,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0046)
3,Train,Normal_accuracy,,,,57.036
3,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.27799999999999997
3,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.4874114594291325
3,Train,Loss_measure,Clean,,,tensor(0.0044)
3,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
4,Train,Normal_accuracy,,,,79.80000000000001
4,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.078
4,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.09774436090225565
4,Train,Loss_measure,Clean,,,tensor(0.0044)
4,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0046)
5,Train,Normal_accuracy,,,,80.96799999999999
5,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.242
5,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.298883509534631
5,Train,Loss_measure,Clean,,,tensor(0.0044)
5,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0046)
6,Train,Normal_accuracy,,,,55.989999999999995
6,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.804
6,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,1.4359707090551885
6,Train,Loss_measure,Clean,,,tensor(0.0044)
6,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
7,Train,Normal_accuracy,,,,76.63
7,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.208
7,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.27143416416547045
7,Train,Loss_measure,Clean,,,tensor(0.0044)
7,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0046)
8,Train,Normal_accuracy,,,,91.682
8,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.055999999999999994
8,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.06108069195698174
8,Train,Loss_measure,Clean,,,tensor(0.0043)
8,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0046)
9,Train,Normal_accuracy,,,,79.12599999999999
9,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.055999999999999994
9,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.07077319717918257
9,Train,Loss_measure,Clean,,,tensor(0.0044)
9,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0046)
10,Train,Normal_accuracy,,,,81.882
10,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.106
10,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.1294545809823893
10,Train,Loss_measure,Clean,,,tensor(0.0044)
10,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0046)
11,Train,Normal_accuracy,,,,84.27799999999999
11,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.13
11,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.15425140606089371
11,Train,Loss_measure,Clean,,,tensor(0.0044)
11,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0046)
12,Train,Normal_accuracy,,,,79.13
12,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.036000000000000004
12,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.045494755465689374
12,Train,Loss_measure,Clean,,,tensor(0.0043)
12,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0046)
13,Train,Normal_accuracy,,,,84.38
13,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.02
13,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.02370229912301493
13,Train,Loss_measure,Clean,,,tensor(0.0044)
13,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0046)
14,Train,Normal_accuracy,,,,73.21600000000001
14,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.06
14,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.0819493006993007
14,Train,Loss_measure,Clean,,,tensor(0.0044)
14,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0046)
15,Train,Normal_accuracy,,,,82.292
15,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.28800000000000003
15,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.34997326593107475
15,Train,Loss_measure,Clean,,,tensor(0.0043)
15,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0046)
16,Train,Normal_accuracy,,,,85.09
16,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.082
16,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.09636855094605712
16,Train,Loss_measure,Clean,,,tensor(0.0044)
16,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0046)
17,Train,Normal_accuracy,,,,80.53399999999999
17,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.076
17,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.09437007971788314
17,Train,Loss_measure,Clean,,,tensor(0.0044)
17,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0046)
18,Train,Normal_accuracy,,,,83.14399999999999
18,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.027999999999999997
18,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.033676513037621474
18,Train,Loss_measure,Clean,,,tensor(0.0044)
18,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0046)
19,Train,Normal_accuracy,,,,79.892
19,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.046
19,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.057577729935412804
19,Train,Loss_measure,Clean,,,tensor(0.0044)
19,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0046)
0,Validation,Normal_accuracy,,,,84.69
0,Validation,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.0
0,Validation,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.0
0,Validation,Loss_measure,Clean,,,tensor(0.0044)
0,Validation,Loss_measure,simple_APGD_10_iters,,,tensor(0.0047)
1,Validation,Normal_accuracy,,,,81.38
1,Validation,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.42
1,Validation,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.5160973212091423
1,Validation,Loss_measure,Clean,,,tensor(0.0045)
1,Validation,Loss_measure,simple_APGD_10_iters,,,tensor(0.0047)
2,Validation,Normal_accuracy,,,,81.02000000000001
2,Validation,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.16999999999999998
2,Validation,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.20982473463342383
2,Validation,Loss_measure,Clean,,,tensor(0.0044)
2,Validation,Loss_measure,simple_APGD_10_iters,,,tensor(0.0047)
3,Validation,Normal_accuracy,,,,62.36000000000001
3,Validation,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.21
3,Validation,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.3367543296985247
3,Validation,Loss_measure,Clean,,,tensor(0.0045)
3,Validation,Loss_measure,simple_APGD_10_iters,,,tensor(0.0046)
4,Validation,Normal_accuracy,,,,79.3
4,Validation,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.06
4,Validation,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.07566204287515763
4,Validation,Loss_measure,Clean,,,tensor(0.0044)
4,Validation,Loss_measure,simple_APGD_10_iters,,,tensor(0.0047)
5,Validation,Normal_accuracy,,,,80.23
5,Validation,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.13
5,Validation,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.1620341518135361
5,Validation,Loss_measure,Clean,,,tensor(0.0045)
5,Validation,Loss_measure,simple_APGD_10_iters,,,tensor(0.0047)
6,Validation,Normal_accuracy,,,,60.260000000000005
6,Validation,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.5599999999999999
6,Validation,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.9293063391968137
6,Validation,Loss_measure,Clean,,,tensor(0.0045)
6,Validation,Loss_measure,simple_APGD_10_iters,,,tensor(0.0046)
7,Validation,Normal_accuracy,,,,79.63
7,Validation,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.06999999999999999
7,Validation,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.08790656787642849
7,Validation,Loss_measure,Clean,,,tensor(0.0045)
7,Validation,Loss_measure,simple_APGD_10_iters,,,tensor(0.0047)
8,Validation,Normal_accuracy,,,,89.05999999999999
8,Validation,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.03
8,Validation,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.03368515607455648
8,Validation,Loss_measure,Clean,,,tensor(0.0043)
8,Validation,Loss_measure,simple_APGD_10_iters,,,tensor(0.0047)
9,Validation,Normal_accuracy,,,,78.41
9,Validation,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.04
9,Validation,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.05101390128810101
9,Validation,Loss_measure,Clean,,,tensor(0.0045)
9,Validation,Loss_measure,simple_APGD_10_iters,,,tensor(0.0047)
10,Validation,Normal_accuracy,,,,82.49
10,Validation,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.09
10,Validation,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.10910413383440416
10,Validation,Loss_measure,Clean,,,tensor(0.0044)
10,Validation,Loss_measure,simple_APGD_10_iters,,,tensor(0.0047)
11,Validation,Normal_accuracy,,,,85.31
11,Validation,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.04
11,Validation,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.0468878208885242
11,Validation,Loss_measure,Clean,,,tensor(0.0045)
11,Validation,Loss_measure,simple_APGD_10_iters,,,tensor(0.0047)
12,Validation,Normal_accuracy,,,,82.55
12,Validation,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.01
12,Validation,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.012113870381586917
12,Validation,Loss_measure,Clean,,,tensor(0.0044)
12,Validation,Loss_measure,simple_APGD_10_iters,,,tensor(0.0047)
13,Validation,Normal_accuracy,,,,84.06
13,Validation,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.01
13,Validation,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.011896264572924102
13,Validation,Loss_measure,Clean,,,tensor(0.0045)
13,Validation,Loss_measure,simple_APGD_10_iters,,,tensor(0.0047)
14,Validation,Normal_accuracy,,,,71.76
14,Validation,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.06
14,Validation,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.08361204013377926
14,Validation,Loss_measure,Clean,,,tensor(0.0045)
14,Validation,Loss_measure,simple_APGD_10_iters,,,tensor(0.0047)
15,Validation,Normal_accuracy,,,,81.39999999999999
15,Validation,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.02
15,Validation,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.02457002457002457
15,Validation,Loss_measure,Clean,,,tensor(0.0044)
15,Validation,Loss_measure,simple_APGD_10_iters,,,tensor(0.0047)
16,Validation,Normal_accuracy,,,,84.96000000000001
16,Validation,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.09
16,Validation,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.1059322033898305
16,Validation,Loss_measure,Clean,,,tensor(0.0045)
16,Validation,Loss_measure,simple_APGD_10_iters,,,tensor(0.0047)
17,Validation,Normal_accuracy,,,,81.2
17,Validation,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.08
17,Validation,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.09852216748768472
17,Validation,Loss_measure,Clean,,,tensor(0.0045)
17,Validation,Loss_measure,simple_APGD_10_iters,,,tensor(0.0047)
18,Validation,Normal_accuracy,,,,83.28
18,Validation,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.03
18,Validation,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.03602305475504323
18,Validation,Loss_measure,Clean,,,tensor(0.0044)
18,Validation,Loss_measure,simple_APGD_10_iters,,,tensor(0.0047)
19,Validation,Normal_accuracy,,,,79.55
19,Validation,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.05
19,Validation,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.06285355122564425
19,Validation,Loss_measure,Clean,,,tensor(0.0045)
19,Validation,Loss_measure,simple_APGD_10_iters,,,tensor(0.0047)
