epoch,mode,measure_name,attack_name,descriptor1,descriptor2,value
0,Train,Normal_accuracy,,,,76.78
0,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.08
0,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.10419380046887211
0,Train,Loss_measure,Clean,,,tensor(0.0040)
0,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0046)
1,Train,Normal_accuracy,,,,75.628
1,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.23600000000000002
1,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.31205373671127096
1,Train,Loss_measure,Clean,,,tensor(0.0042)
1,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0046)
2,Train,Normal_accuracy,,,,80.384
2,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.086
2,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.10698646496815287
2,Train,Loss_measure,Clean,,,tensor(0.0042)
2,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0046)
3,Train,Normal_accuracy,,,,68.318
3,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,1.252
3,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,1.832606340935039
3,Train,Loss_measure,Clean,,,tensor(0.0043)
3,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
4,Train,Normal_accuracy,,,,78.28399999999999
4,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.048
4,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.06131521128199888
4,Train,Loss_measure,Clean,,,tensor(0.0043)
4,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0046)
5,Train,Normal_accuracy,,,,73.828
5,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.07200000000000001
5,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.0975239746437666
5,Train,Loss_measure,Clean,,,tensor(0.0043)
5,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
6,Train,Normal_accuracy,,,,74.20400000000001
6,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.08800000000000001
6,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.11859198965015363
6,Train,Loss_measure,Clean,,,tensor(0.0043)
6,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
7,Train,Normal_accuracy,,,,73.37
7,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.636
7,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.8668393076189178
7,Train,Loss_measure,Clean,,,tensor(0.0043)
7,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
8,Train,Normal_accuracy,,,,76.548
8,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.036000000000000004
8,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.04702931493964571
8,Train,Loss_measure,Clean,,,tensor(0.0042)
8,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0046)
9,Train,Normal_accuracy,,,,73.408
9,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.4
9,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.5448997384481256
9,Train,Loss_measure,Clean,,,tensor(0.0043)
9,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
10,Train,Normal_accuracy,,,,74.268
10,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.074
10,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.09963914471912533
10,Train,Loss_measure,Clean,,,tensor(0.0043)
10,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
11,Train,Normal_accuracy,,,,70.76
11,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.844
11,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,1.1927642736009043
11,Train,Loss_measure,Clean,,,tensor(0.0043)
11,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
12,Train,Normal_accuracy,,,,77.464
12,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.8059999999999999
12,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,1.0404833212847258
12,Train,Loss_measure,Clean,,,tensor(0.0042)
12,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0046)
13,Train,Normal_accuracy,,,,73.47200000000001
13,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.026
13,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.03538763066202091
13,Train,Loss_measure,Clean,,,tensor(0.0043)
13,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
14,Train,Normal_accuracy,,,,74.49799999999999
14,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.384
14,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.515450079196757
14,Train,Loss_measure,Clean,,,tensor(0.0043)
14,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
15,Train,Normal_accuracy,,,,71.14399999999999
15,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,1.246
15,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,1.751377487911841
15,Train,Loss_measure,Clean,,,tensor(0.0043)
15,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
16,Train,Normal_accuracy,,,,68.708
16,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.8880000000000001
16,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,1.292425918379228
16,Train,Loss_measure,Clean,,,tensor(0.0043)
16,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
17,Train,Normal_accuracy,,,,74.33
17,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.232
17,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.31212161980357866
17,Train,Loss_measure,Clean,,,tensor(0.0042)
17,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0046)
18,Train,Normal_accuracy,,,,71.054
18,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.124
18,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.17451515748585583
18,Train,Loss_measure,Clean,,,tensor(0.0043)
18,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
19,Train,Normal_accuracy,,,,74.488
19,Train,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.192
19,Train,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.2577596391365052
19,Train,Loss_measure,Clean,,,tensor(0.0043)
19,Train,Loss_measure,simple_APGD_10_iters,,,tensor(0.0045)
0,Validation,Normal_accuracy,,,,76.92999999999999
0,Validation,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.15
0,Validation,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.19498245157935787
0,Validation,Loss_measure,Clean,,,tensor(0.0040)
0,Validation,Loss_measure,simple_APGD_10_iters,,,tensor(0.0048)
1,Validation,Normal_accuracy,,,,76.87
1,Validation,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.22
1,Validation,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.28619747625861847
1,Validation,Loss_measure,Clean,,,tensor(0.0042)
1,Validation,Loss_measure,simple_APGD_10_iters,,,tensor(0.0047)
2,Validation,Normal_accuracy,,,,81.15
2,Validation,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.08
2,Validation,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.09858287122612445
2,Validation,Loss_measure,Clean,,,tensor(0.0042)
2,Validation,Loss_measure,simple_APGD_10_iters,,,tensor(0.0047)
3,Validation,Normal_accuracy,,,,70.57
3,Validation,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,1.43
3,Validation,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,2.026356808842284
3,Validation,Loss_measure,Clean,,,tensor(0.0043)
3,Validation,Loss_measure,simple_APGD_10_iters,,,tensor(0.0046)
4,Validation,Normal_accuracy,,,,79.02
4,Validation,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.09
4,Validation,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.11389521640091116
4,Validation,Loss_measure,Clean,,,tensor(0.0043)
4,Validation,Loss_measure,simple_APGD_10_iters,,,tensor(0.0047)
5,Validation,Normal_accuracy,,,,76.08
5,Validation,Robust_accuracy,simple_APGD_10_iters,Total_accuracy,,0.05
5,Validation,Robust_accuracy,simple_APGD_10_iters,,Correct_accuracy,0.06572029442691904
5,Validation,Loss_measure,Clean,,,tensor(0.0043)
5,Validation,Loss_measure,simple_APGD_10_iters,,,tensor(0.0046)
6,Validation,Normal_accuracy,,,,75.94
